level_0,index,Lyrics
279,304,"The cycle repeated.
As explosions broke in the sky.
All that I needed.
Was the one thing I couldn't find.
And you were there at the turn.
Waiting to let me know.
We're building it up to break it back down.
We're building it up to burn it down.
We can't wait to burn it to the ground.
The colors conflicted.
As the flames climbed into the clouds.
I wanted to fix this.
But couldn't stop from tearing it down.
And you were there at the turn.
Caught in the burning glow.
And I was there at the turn.
Waiting to let you know.
We're building it up to break it back down.
We're building it up to burn it down.
We can't wait to burn it to the ground.
You told me yes, you held me high.
And I believed when you told that lie.
I played soldier, you played king.
And struck me down when I kissed that ring.
You lost that right to hold that crown.
I built you up but you let me down.
So when you fall, I'll take my turn.
And fan the flames as your blazes burn.
And you were there at the turn.
Waiting to let me know.
We're building it up to break it back down.
We're building it up to burn it down.
We can't wait to burn it to the ground.
When you fall, I'll take my turn.
And fan the flames as your blazes burn.
We can't wait to burn it to the ground.
When you fall, I'll take my turn.
And fan the flames as your blazes burn.
We can't wait to burn it to the ground.
"
280,305,"Yeah, yo.
You were that foundation.
Never gonna be another one, no.
I followed, so taken.
So conditioned, I could never let go.
Then sorrow, then sickness.
Then the shock when you flip it on me.
So hollow, so vicious.
So afraid, I couldn't let myself see.
That I could never be held.
Back or up, no, I hold myself.
Check the rep, yep, you know mine well.
Forget the rest, let them know my Hell.
There and back, yet my soul ain't sell.
Kept respect up, the best they fell.
Let the rest be the tale they tell.
That I was there, saying.
In these promises broken, deep below.
Each word gets lost in the echo.
So, one last lie I can see through.
This time, I finally let you go, go, go.
Test my will, test my heart.
Let me tell you how the odds gonna stack up.
Y'all go hard, I go smart.
How's that working out for y'all in the back, huh?
I've seen that, frustration.
Been crossed and lost and told no.
And I've come back, unshaken.
Let down and lived and let go.
So, you can let it be known.
I don't hold back, I hold my own.
I can't be mapped, I can't be cloned.
I can't C-flat, it ain't my tone.
I can't fall back, I came too far.
Hold myself up and love my scars.
Let the bells ring wherever they are.
'Cause I was there, saying.
In these promises broken, deep below.
Each word gets lost in the echo.
So, one last lie I can see through.
This time, I finally let you go!
(Go!).
(Go!).
(Go!).
(Go!).
(Go!).
No! You can tell 'em all now.
I don't back up, I don't back down.
I don't fold up and I don't bow.
I don't roll over, don't know how.
I don't care where the enemies are.
Can't be stopped, all I know, go hard.
Won't forget how I got this far.
For every time, saying.
In these promises broken, deep below.
Each word gets lost in the echo.
So, one last lie I can see through.
This time, I finally let you go, go, go, go.
Go, go, go.
"
282,308,"I've got an aching head.
Echoes and buzzing noises.
I know the words we said.
But wish I could've turned our voices down.
This is not black and white.
Only organized confusion.
I'm just trying to get it right.
And in spite of all I should've done.
I was not mad at you.
I was not trying to tear you down.
The words that I could've used.
I was too scared to say out loud.
If I cannot break your fall.
I'll pick you up right off the ground.
If you felt invisible, I won't let you feel that now.
Invisible, invisible.
Invisible, invisible.
You didn't get your way.
And it's an empty feeling.
You've got a lot to say.
And you just want to know you're being heard.
But this is not black and white.
There are no clear solutions.
I'm just trying to get it right.
And in spite of all I should've done.
I was not mad at you.
I was not trying to tear you down.
The words that I could've used.
I was too scared to say out loud.
If I cannot break your fall.
I'll pick you up right off the ground.
If you felt invisible, I won't let you feel that now.
Invisible, invisible.
Invisible, invisible.
This is not black and white.
There are no clear solutions.
I'm just trying to get it right.
And in spite of all I should've done.
I was not mad at you.
I was not trying to tear you down.
The words that I could've used.
I was too scared to say out loud.
If I cannot break your fall.
I'll pick you up right off the ground.
If you felt invisible, I won't let you feel that now.
Invisible, invisible.
Invisible, invisible.
Invisible, invisible.
Invisible, invisible.
"
283,309,"Mama always told me don't you run.
""Don't you run with scissors, son.
You're gonna hurt someone"".
Mama told me look before you leap.
Always think before you speak, and watch the friends you keep.
Stay along the beaten path, never listened when she said.
Sharp edges have consequences, I.
Guess that I had to find out for myself.
Sharp edges have consequences, now.
Every scar is a story I can tell.
Should've played it safer from the start.
Loved you like a house of cards.
Let it fall apart.
But all the things I couldn't understand.
Never could've planned.
They made me who I am.
Put your nose in paperbacks.
Instead of smoking cigarettes.
These are years you're never getting back.
Stay along the beaten path, never listened when she said.
Sharp edges have consequences, I.
Guess that I had to find out for myself.
Sharp edges have consequences, now.
Every scar is a story I can tell.
We all fall down.
We live somehow.
We learn what doesn't kill us makes us stronger.
We all fall down.
We live somehow.
We learn what doesn't kill us makes us stronger.
Ooh ooh ooh, ooh ooh ooh, ooh ooh ooh.
Stay along the beaten path, never listened when she said.
Sharp edges have consequences, I.
Guess that I had to find out for myself.
Sharp edges have consequences, now.
Every scar is a story I can tell.
We all fall down.
We live somehow.
We learn what doesn't kill us makes us stronger.
We all fall down.
We live somehow.
We learn what doesn't kill us makes us stronger.
Ooh ooh ooh, ooh ooh ooh, ooh ooh ooh.
"
284,310,"Wake in a sweat again.
Another day's been laid to waste, in my disgrace.
Stuck in my head again.
Feels like I'll never leave this place, there's no escape.
I'm my own worst enemy.
I've given up, I'm sick of feeling.
Is there nothing you can say?
Take this all away, I'm suffocating.
Tell me what the fuck is wrong with me.
I don't know what to take.
Thought I was focused but I'm scared, I'm not prepared.
I hyperventilate.
Looking for help somehow, somewhere and no one cares.
I'm my own worst enemy.
I've given up, I'm sick of feeling.
Is there nothing you can say?
Take this all away, I'm suffocating.
Tell me what the fuck is wrong with me.
God!
Put me out of my misery!
Put me out of my misery!
Put me out of my.
Put me out of my fucking misery!
I've given up, I'm sick of feeling.
Is there nothing you can say?
Take this all away, I'm suffocating.
Tell me what the fuck is wrong with me.
"
285,312,"Weep not for roads untraveled.
Weep not for paths left alone.
'Cause beyond every bend is a long blinding end.
It's the worst kind of pain I've known.
Give up your heart, left broken.
And let that mistake pass on.
'Cause the love that you lost wasn't worth what it cost.
And in time, you'll be glad it's gone.
Whoa-oh, whoa-oh-oh-oh.
Whoa-oh, whoa-oh-oh-oh.
Whoa-oh, oh-oh, oh-oh, oh-oh.
Whoa-oh, oh-ooh-oh-oh-oh.
Whoa-oh, oh-oh, oh-oh, oh-oh.
Whoa-oh, oh-ooh-oh-oh-oh.
Weep not for roads untraveled.
Weep not for sights unseen.
May your love never end, and if you need a friend.
There's a seat here alongside me.
Whoa, whoa-oh-oh-oh.
Whoa-oh, whoa-oh-oh-oh.
Whoa-oh, oh-oh, oh-oh, oh-oh.
Whoa-oh, oh-ooh-oh-oh-oh.
Whoa-oh, oh-oh, oh-oh, oh-oh.
Whoa-oh, oh-ooh-oh-oh-oh.
"
286,313,"Watching the wings cut through the clouds.
Watching the raindrops blinking red and white.
Thinking of you back on the ground.
There with a fire burning in your eyes.
I only halfway apologized.
And I'll be sorry for now.
That I couldn't be around.
Sometimes things refuse.
To go the way we planned.
Oh I'll be sorry for now.
That I couldn't be around.
There will be a day.
That you will understand.
You will understand.
After a while you may forget.
But just in case the memories cross your mind.
You couldn't know this when I left.
Under the fire of your angry eyes.
I never wanted to say goodbye.
So I'll be sorry for now.
That I couldn't be around.
Sometimes things refuse.
To go the way we planned.
Oh I'll be sorry for now.
That I couldn't be around.
There will be a day.
That you will understand.
You will understand.
Yeah, stop telling 'em to pump the bass up.
Tried to call home but nobody could wait up.
Switch your time zones can't pick the pace up.
I just passed out by the time you wake up.
Best things come to those who wait.
And it's bound to get rough on any road you take.
But don't you ever have a doubt and make no mistake.
I can't wait to come back when I'm going away.
So I'll be sorry for now.
That I couldn't be around.
There are things we have to do that we can't stand.
Oh I'll be sorry for now.
That I couldn't be around.
There will be a day that you will understand.
Oh I'll be sorry for now.
That I couldn't be around.
There are things we have to do that we can't stand.
(Things we have to do that we can't stand).
Oh I'll be sorry for now.
That I couldn't be around.
There will be a day that you will understand.
You will understand.
You will understand.
You will understand.
"
287,315,"I don't know who to trust, no surprise.
Everyone feels so far away from me.
Heavy thoughts sift through dust and the lies.
Trying not to break, but I'm so tired of this deceit.
Every time I try to make myself get back up on my feet.
(I) All I ever think about is this, all the tiring time between.
And how trying to put my trust in you just takes so much out of me.
Take everything from the inside.
And throw it all away.
'Cause I swear, for the last time.
I won't trust myself with you.
Tension is building inside, steadily.
Everyone feels so far away from me.
Heavy thoughts forcing their way out of me.
Trying not to break, but I'm so tired of this deceit.
Every time I try to make myself get back up on my feet.
(I) All I ever think about is this, all the tiring time between.
And how trying to put my trust in you just takes so much out of me.
Take everything from the inside.
And throw it all away.
'Cause I swear, for the last time.
I won't trust myself with you.
I won't waste myself on you, you, you.
Waste myself on you, you, you.
I'll take everything from the inside.
And throw it all away.
'Cause I swear, for the last time.
I won't trust myself with you.
Everything from the inside.
And just throw it all away.
'Cause I swear, for the last time.
I won't trust myself with you, you, you.
"
288,316,"God bless us everyone.
We're a broken people living under loaded gun.
And it can't be outfought, it can't be outdone.
It can't be outmatched, it can't be outrun, no!
God bless us everyone.
We're a broken people living under loaded gun.
And it can't be outfought, it can't be outdone.
It can't be outmatched, it can't be outrun, no!
And when I close my eyes tonight.
To symphonies of blinding light!
God bless us everyone.
We're a broken people living under loaded gun.
Oh, like memories in cold decay.
Transmissions echoing away.
Far from the world of you and I.
Where oceans bleed into the sky!
God save us everyone.
Will we burn inside the fires of a thousand suns?
For the sins of our hand, the sins of our tongue.
The sins of our father, the sins of our young? No!
God save us everyone.
Will we burn inside the fires of a thousand suns?
For the sins of our hand, the sins of our tongue.
The sins of our father, the sins of our young? No!
And when I close my eyes tonight.
To symphonies of blinding light!
God save us everyone.
Will we burn inside the fires of a thousand suns?
Oh, like memories in cold decay.
Transmissions echoing away.
Far from the world of you and I.
Where oceans bleed into the sky!
Oh, like memories in cold decay.
Transmissions echoing away.
Far from the world of you and I.
Where oceans bleed into the sky!
Lift me up, let me go.
Lift me up, let me go.
Lift me up, let me go.
Lift me up, let me go.
Lift me up, let me go.
Lift me up, let me go.
Lift me up, let me go.
Lift me up, let me go.
Lift me up, let me go.
It can't be outfought, it can't be outdone (Lift me up, let me go).
It can't be outmatched, it can't be outrun, no!
God bless us everyone (Lift me up).
We're a broken people living under loaded gun.
And it can't be outfought, it can't be outdone.
It can't be outmatched, it can't be outrun, no!
God bless us everyone (Lift me up, let me go).
We're a broken people living under loaded gun.
And it can't be outfought, it can't be outdone (Lift me up, let me go).
It can't be outmatched, it can't be outrun.
"
289,317,"I scream at myself when there's nobody else to fight.
I don't lose, I don't win, if I'm wrong, then I'm halfway right.
Used to get high with the dead end kids.
Abandoned houses where the shadows lived.
I never been higher than I was that night.
I woke up driving my car.
I couldn't see then what I see right now.
The road dissolving like an empty vow.
Couldn't remember where I'd been that night.
I knew I took it too far.
All you said to do was slow down.
I remember, now I remember.
All you said to do was slow down.
But I was already gone.
I scream at myself when there's nobody else to fight.
I don't lose, I don't win, if I'm wrong, then I'm halfway right.
I know what I want, but it feels like I'm paralyzed.
I don't lose, I don't win, if I'm wrong, then I'm halfway right (halfway right).
Told me ""Kid, you're going way too fast.
You burn too bright, you know you'll never last"".
It was bullshit then, I guess it makes sense now.
I woke up driving my car.
Said I'd lose you if I lost control.
I just laughed because what do they know?
Here I am, standing all alone.
Because I took it too far.
All you said to do was slow down.
I remember, now I remember.
All you said to do was slow down.
But I was already gone.
I scream at myself when there's nobody else to fight.
I don't lose, I don't win, if I'm wrong, then I'm halfway right.
I know what I want, but it feels like I'm paralyzed.
I don't lose, I don't win, if I'm wrong, then I'm halfway right , halfway right.
Na na na na na na na na.
Nana nana, na nana nana.
Na na na na na na na na.
But I was already gone.
I scream at myself when there's nobody else to fight.
I don't lose, I don't win, if I'm wrong, then I'm halfway right.
Na na na na na na na na.
Nana nana, na nana nana.
Na na na na na na na na.
But I was already gone.
I scream at myself when there's nobody else to fight.
I don't lose, I don't win, if I'm wrong, then I'm halfway right.
"
290,318,"I woke up in a dream today to the cold of the static.
And put my cold feet on the floor.
Forgot all about yesterday.
Remembering I'm pretending to be where I'm not anymore.
A little taste of hypocrisy.
And I'm left in the wake of the mistake, slow to react.
Even though you're so close to me.
You're still so distant and I can't bring you back.
It's true, the way I feel.
Was promised by your face.
The sound of your voice.
Painted on my memories.
Even if you're not with me.
I'm with you.
You, now I see, keeping everything inside.
With you.
You, now I see, even when I close my eyes.
I hit you and you hit me back.
We fall to the floor, the rest of the day stands still.
Fine line between this and that.
When things go wrong, I pretend that the past isn't real.
Now I'm trapped in this memory.
And I'm left in the wake of the mistake, slow to react.
So even though you're close to me.
You're still so distant and I can't bring you back.
It's true the way I feel.
Was promised by your face.
The sound of your voice.
Painted on my memories.
Even if you're not with me.
I'm with you.
You, now I see, keeping everything inside.
With you.
You, now I see, even when I close my eyes.
With you.
You, now I see, keeping everything inside.
With you.
You, now I see, even when I close my eyes.
No, no matter how far we've come.
I can't wait to see tomorrow.
No matter how far we've come.
I, I can't wait to see tomorrow.
With you.
You, now I see, keeping everything inside.
With you.
You, now I see, even when I close my eyes.
With you.
You, now I see, keeping everything inside.
With you.
You, now I see, even when I close my eyes.
"
291,319,"Tearing me apart with the words you wouldn't say.
And suddenly tomorrow's a moment washed away.
'Cause I don't have a reason and you don't have the time.
But we both keep on waiting for something we won't find.
The light on the horizon was brighter yesterday.
With shadows floating over, the scars began to fade.
We said it was forever, but then it slipped away.
Standing at the end of the final masquerade.
The final masquerade.
All I ever wanted, the secrets that you keep.
All you ever wanted, the truth I couldn't speak.
'Cause I can't see forgiveness and you can't see the crime.
But we both keep on waiting, for what we left behind.
The light on the horizon was brighter yesterday.
With shadows floating over, the scars began to fade.
We said it was forever, but then it slipped away.
Standing at the end of the final masquerade.
The final masquerade.
The final masquerade.
Standing at the end of the final masquerade.
The light on the horizon was brighter yesterday.
With shadows floating over, the scars began to fade.
We said it was forever, but then it slipped away.
Standing at the end of the final masquerade.
Oh-oh oh, oh-oh-oh.
Standing at the end of the final masquerade.
Oh-oh oh, oh-oh-oh.
Standing at the end of the final masquerade.
The final masquerade.
Oh-oh oh.
"
292,322,"Graffiti decorations under a sky of dust.
A constant wave of tension on top of broken trust.
The lessons that you taught me, I learned were never true.
Now I find myself in question.
They point the finger at me again.
Guilty by association.
You point the finger at me again.
I wanna run away, never say goodbye.
I wanna know the truth instead of wondering why.
I wanna know the answers, no more lies.
I wanna shut the door and open up my mind.
Paper bags and angry voices under a sky of dust.
Another wave of tension has more than filled me up.
All my talk of taking action, these words were never true.
Now I find myself in question.
They point the finger at me again.
Guilty by association.
You point the finger at me again.
I wanna run away, never say goodbye.
I wanna know the truth instead of wondering why.
I wanna know the answers, no more lies.
I wanna shut the door and open up my mind.
I'm gonna run away and never say goodbye.
Gonna run away, gonna run away.
Gonna run away, gonna run away.
I'm gonna run away and never wonder why.
Gonna run away, gonna run away.
Gonna run away, gonna run away.
I'm gonna run away and open up my mind.
Gonna run away, gonna run away.
Mind (Gonna run away, gonna run away).
Mind (Gonna run away, gonna run away).
Mind (Gonna run away, gonna run away).
I wanna run away, never say goodbye.
I wanna know the truth instead of wondering why.
I wanna know the answers, no more lies.
I wanna shut the door and open up my mind.
I wanna run away and open up my mind.
I wanna run away and open up my mind.
I wanna run away and open up my mind.
I wanna run away and open up my mind.
"
293,323,"I've lied to you.
The same way that I always do.
This is the last smile.
That I'll fake for the sake of being with you.
Everything falls apart, even the people.
Who never frown eventually break down.
The sacrifice of hiding in a lie.
Everything has to end, you'll soon find.
We're out of time left to watch it all unwind.
The sacrifice is never knowing.
Why I never walked away, why I played myself this way.
Now I see you're testing me pushes me away.
Why I never walked away, why I played myself this way.
Now I see you're testing me pushes me away.
I've tried, like you.
To do everything you wanted to.
This is the last time.
I'll take the blame for the sake of being with you.
Everything falls apart, even the people.
Who never frown eventually break down.
The sacrifice of hiding in a lie.
Everything has to end, you'll soon find.
We're out of time left to watch it all unwind.
The sacrifice is never knowing.
Why I never walked away, why I played myself this way.
Now I see you're testing me pushes me away.
Why I never walked away, why I played myself this way.
Now I see you're testing me pushes me away.
We're all out of time.
This is how we find how it all unwinds.
The sacrifice of hiding in a lie.
We're all out of time.
This is how we find how it all unwinds.
The sacrifice is never knowing.
Why I never walked away, why I played myself this way.
Now I see you're testing me pushes me away.
Why I never walked away, why I played myself this way.
Now I see you're testing me pushes me away.
Pushes me away.
"
294,324,"Sometimes, I need to remember just to breathe.
Sometimes, I need you to stay away from me.
Sometimes, I'm in disbelief, I didn't know.
Somehow, I need you to go.
(Don't stay) Forget our memories, forget our possibilities.
What you were changing me into.
Just give me myself back and don't stay.
Forget our memories, forget our possibilities.
Take all your faithlessness with you.
Just give me myself back and don't stay.
Sometimes, I feel like I trusted you too well.
Sometimes, I just feel like screaming at myself.
Sometimes, I'm in disbelief, I didn't know.
Somehow, I need to be alone.
(Don't stay) Forget our memories, forget our possibilities.
What you were changing me into.
Just give me myself back and don't stay.
Forget our memories, forget our possibilities.
Take all your faithlessness with you.
Just give me myself back and don't stay.
I don't need you anymore.
I don't want to be ignored.
I don't need one more day.
Of you wasting me away.
I don't need you anymore.
I don't want to be ignored.
I don't need one more day.
Of you wasting me away.
With no apologies.
(Don't stay) Forget our memories, forget our possibilities.
What you were changing me into.
Just give me myself back and don't stay.
Forget our memories, forget our possibilities.
Take all your faithlessness with you.
Just give me myself back and don't stay.
Don't stay.
Don't stay!
"
295,325,"Yeah.
I am not a pattern to be followed.
The pill that I'm on is a tough one to swallow.
I'm not a criminal, not a role model.
Not a born leader, I'm a tough act to follow.
I am not the fortune and the fame.
Nor the same person telling you to forfeit the game.
I came in the ring like a dog on a chain.
And I found out the underbelly's sicker than it seems.
And it seems ugly, but it can get worse.
'Cause even a blueprint is a gift and a curse.
'Cause once you got a theory of how the thing works.
Everybody wants the next thing to be just like the first.
And I'm not a robot, I'm not a monkey.
I will not dance, even if the beat's funky.
Opposite of lazy, far from a punk.
You all ought to stop talking.
Start trying to catch up, motherfucker!
And all the people say.
Try to catch up, motherfucker!
Lauryn said ""money change a situation"".
Big said ""it increase the complication"".
Kane said ""Don't step. I ain't the one"".
Chuck said ""that Uzi weigh a motherfucking ton"".
And I'm just a student of the game that they taught me.
Rocking every stage in every place that it brought me.
I'm awfully underrated, but came here to correct it.
And so it ain't mistaken, I'ma state it for the record.
I am the opposite of wack, opposite of weak.
Opposite of slack, synonym of heat, synonym of crack.
Closest to a peak, far from a punk.
You all ought to stop talking.
Start trying to catch up, motherfucker!
And all the people say.
Try to catch up, motherfucker!
Oh, when they come for me.
Come for me, I'll be gone.
Oh, when they come for me.
Come for me, I'll be gone.
Oh, when they come for me.
Come for me, I'll be gone.
And all the people say.
Try to catch up, motherfucker!
And all the people say.
Try to catch up, motherfucker!
Escuchnme, preste atencin.
Escuchnme ahora.
Escuchnme ahora.
Escuchnme todos.
Toda la gente, preste atencin.
Escuchnme ahora mismo.
Eh, eh, eh, eh, eh, eh, eh, eh.
Eh, eh, eh, eh, eh, eh, eh, eh.
Eh, eh, eh, eh, eh, eh, eh, eh.
Eh, eh, eh, eh, eh, eh, eh, eh.
Eh, eh, eh, eh, eh, eh, eh, eh.
Eh, eh, eh, eh, eh, eh, eh, eh.
"
296,326,"Water grey.
Through the windows, up the stairs.
Chilling rain.
Like an ocean, everywhere.
Don't want to reach for me, do you?
I mean nothing to you.
The little things give you away.
And now there will be no mistaking.
The levees are breaking.
All you've ever wanted.
Was someone to truly look up to you.
And six feet underwater, I do.
Hope decays.
Generations disappear.
Washed away.
As a nation simply stares.
Don't want to reach for me, do you?
I mean nothing to you.
The little things give you away.
But now there will be no mistaking.
The levees are breaking.
All you've ever wanted.
Was someone to truly look up to you.
And six feet underwater, I do.
All you've ever wanted.
Was someone to truly look up to you.
And six feet underground.
Now I, now I do.
The little things give you away.
The little things give you away.
The little things give you away.
The little things give you away.
All you've ever wanted.
The little things give you away.
Was someone to truly look up to you.
The little things give you away.
All you've ever wanted.
The little things give you away.
Was someone to truly look up to you.
The little things give you away.
All you've ever wanted.
The little things give you away.
Was someone to truly look up to you.
The little things give you away.
All you've ever wanted.
The little things give you away.
Was someone to truly look up to you.
The little things give you away.
All you've ever wanted.
The little things give you away.
Was someone to truly look up to you.
The little things give you away.
All you've ever wanted.
The little things give you away.
Was someone to truly look up to you.
The little things give you away.
"
297,327,"I used the deadwood to make the fire rise.
The blood of innocence burning in the skies.
I filled my cup with the rising of the sea.
And poured it out in an ocean of debris.
I'm swimming in the smoke of bridges I have burned.
So don't apologize, I'm losing what I don't deserve.
What I don't deserve.
We held our breath when the clouds began to form.
But you were lost in the beating of the storm.
And in the end, we were made to be apart.
Like separate chambers of the human heart.
I'm swimming in the smoke of bridges I have burned.
So don't apologize I'm losing what I don't deserve.
It's in the blackened bones of bridges I have burned.
So don't apologize I'm losing what I don't deserve.
What I don't deserve.
I'm swimming in the smoke of bridges I have burned.
So don't apologize I'm losing what I don't deserve.
The blame is mine, alone, for bridges I have burned.
So don't apologize I'm losing what I don't deserve.
What I don't deserve.
What I don't deserve, oh.
What I don't deserve.
I use the deadwood to make the fire rise.
The blood of innocence burning in the skies.
"
298,328,"This is my December.
This is my time of the year.
This is my December.
This is all so clear.
This is my December.
This is my snow-covered home.
This is my December.
This is me, alone.
(And I) Just wish that I didn't feel.
Like there was something I missed.
(And I) Take back all the things I said.
To make you feel like that.
(And I) Just wish that I didn't feel.
Like there was something I missed.
(And I) Take back all the things.
That I said to you.
And I'd give it all away.
Just to have somewhere to go to.
Give it all away.
To have someone to come home to.
This is my December.
These are my snow-covered trees.
This is me pretending.
This is all I need.
(And I) Just wish that I didn't feel.
Like there was something I missed.
(And I) Take back all the things I said.
To make you feel like that.
(And I) Just wish that I didn't feel.
Like there was something I missed.
(And I) Take back all the things.
That I said to you.
And I'd give it all away.
Just to have somewhere to go to.
Give it all away.
To have someone to come home to.
This is my December.
This is my time of the year.
This is my December.
This is all so clear.
Give it all away.
Just to have somewhere to go to.
Give it all away.
To have someone to come home to.
Give it all away.
Just to have somewhere to go to.
Give it all away.
To have someone to come home to.
"
299,329,"I'm stuck in this bed you made.
Alone with a sinking feeling.
I saw through the words you said.
To the secrets you've been keeping.
It's written upon your face.
All the lies, how they cut so deeply.
You can't get enough, you take.
And take and take and never say.
No! You've gotta get it inside!
You push it back down! You push it back down!
No! You'll never get it inside!
Push it back down, blackout, blood in your eye!
You say that it's not your fault.
And swear that I am mistaken.
You said it's not what it seems.
No remorse for the trust you're breaking.
You run but then back, you fall.
Suffocate in the mess you're making.
You can't get enough, you take.
And take, and take, and take, and take.
Fuck it, are you listening?
No! You've gotta get it inside!
You push it back down! You push it back down!
No! You'll never get it inside!
Push it back down! You push it back down!
No! You've gotta get it inside!
You push it back down! You push it back down!
No! You'll never get it inside!
Push it back down, blackout, blood in your eye!
Blackout, blood in your eye!
You push it back down! Push it back down!
You push it back down, blood in your eye!
Blackout, blood in your eye!
Blackout, blood in your eye!
Blackout, blood in your eye!
Blackout, blood in your eye!
Blackout, blood in your eye!
Blackout, blood in your eye!
Floating down, as colors fill the light.
We look up from the ground in fields of paperwhite.
And floating up, you pass us in the night.
A future gazing out, a past to overwrite.
So, come down, far below.
We've been waiting to collect the things you know.
Come down, far below.
We've been waiting to collect what you've let go.
Come down, oh.
Come down, oh.
Come down, oh.
Come down, oh.
Come down, oh.
"
300,330,"My insides all turned to ash, so slow.
And blew away as I collapsed, so cold.
A black wind took them away from sight.
And held the darkness over day, that night.
And the clouds above move closer.
Looking so dissatisfied.
But the heartless wind kept blowing, blowing.
I used to be my own protection, but not now.
'Cause my path has lost direction, somehow.
A black wind took you away from sight.
And held the darkness over day, that night.
And the clouds above move closer.
Looking so dissatisfied.
And the ground below grew colder.
As they put you down inside.
But the heartless wind kept blowing, blowing.
So now, you're gone and I was wrong.
I never knew what it was like to be alone.
On a Valentine's day, on a Valentine's day.
On a Valentine's day, on a Valentine's day.
On a Valentine's day, on a Valentine's day.
(I used to be my own protection, but not now).
On a Valentine's day, on a Valentine's day.
('Cause my mind has lost direction, somehow).
On a Valentine's day, on a Valentine's day.
(I used to be my own protection, but not now).
On a Valentine's day, on a Valentine's day.
('Cause my mind has lost direction, somehow).
"
301,331,"Separate.
Sifting through the wreckage, I can't concentrate.
Searching for a message in that fear and pain.
Broken down and waiting for the chance to feel alive.
Now, in my remains.
Are promises that never came.
Set this silence free.
To wash away the worst of me.
Come apart.
Falling in the cracks of every broken heart.
Digging through the wreckage of your disregard.
Sinking down and waiting for the chance to feel alive.
Now, in my remains.
Are promises that never came.
Set this silence free.
To wash away the worst of me.
Like an army falling one by one by one.
Like an army falling one by one by one.
Like an army falling one by one by one.
Like an army falling one by one by one.
Now, in my remains (One by one, one by one).
Are promises that never came (One by one by one).
Set this silence free (One by one, one by one).
To wash away the worst of me (One by one by one).
Like an army falling (One by one, one by one).
One by one by one (One by one by one).
Like an army falling (One by one, one by one).
One by one by one.
"
302,333,"Telling me to go.
But hands beg me to stay.
Your lips say that you love.
Your eyes say that you hate.
There's truth in your lies, doubt in your faith.
What you build, you lay to waste.
There's truth in your lies, doubt in your faith.
All I've got's what you didn't take.
So I, I won't be the one.
Be the one to leave this in pieces.
And you, you will be alone.
Alone with all your secrets and regrets.
Don't lie.
You promise me the sky.
Then toss me like a stone.
You wrap me in your arms.
Then chill me to the bone.
There's truth in your lies, doubt in your faith.
All I've got's what you didn't take.
So I, I won't be the one.
Be the one to leave this in pieces.
And you, you will be alone.
Alone with all your secrets and regrets.
Don't lie.
So I, I won't be the one.
Be the one to leave this in pieces.
And you, you will be alone.
Alone with all your secrets and regrets.
Don't lie.
"
303,334,"You hid your skeletons when I had shown you mine.
You woke the devil that I thought you'd left behind.
I saw the evidence, the crimson soaking through.
Ten thousand promises, ten thousand ways to lose.
And you held it all.
But you were careless to let it fall.
You held it all.
And I was by your side, powerless.
I watched you fall apart and chased you to the end.
I'm left with emptiness that words cannot defend.
You'll never know what I became because of you.
Ten thousand promises, ten thousand ways to lose.
And you held it all.
But you were careless to let it fall.
You held it all.
And I was by your side, powerless.
And you held it all.
But you were careless to let it fall.
You held it all.
And I was by your side, powerless.
Powerless (Oh, oh, ooh, aah, ooh! Oh, oh, ooh, aah, ooh!).
(Oh, oh, ooh, aah, ooh! Oh, oh, ooh!) Powerless.
"
304,335,"Yeah.
Uh.
So what'cha waiting for, anticipating more.
While you debate what it could take to instigate a war?
Yeah, I been hated more than time I wasn't hated for.
There's nothing they can fucking say they didn't say before.
But you could never see it, your battle's not mine.
Wanna skate and play it safe, but this is take a shot time.
While you're waiting for a purpose, I already got mine.
While you tell me step to it like ""one, two, three, four"".
And if I do what you demand.
(You say!) You'll let me understand.
(You say!) You're gonna hold me to your word.
And if I sell myself away.
(You say!) I'll have no debt to pay.
(You say!) I'm gonna get what I deserve.
Your word, obeyed.
My debt, repaid.
Our trust, betrayed.
All for nothing! All for nothing!
Kick back, there's no other way to say it.
So let me break this fucker down for you, I really don't know you.
You talk, but let me show you where to put your paranoia.
You're joking, I don't have a half a sucker bone to throw you.
I'm disgusted.
Wonder what could've made you tuck your tail below you.
And no, I'm not your soldier, I'm not taking any orders.
I'm a five-star general infantry controller.
Need a lesson? Let me show you.
Have you checking your composure.
While I make you step to it like ""one, two, three, four""?
And if I do what you demand.
(You say!) You'll let me understand.
(You say!) You're gonna hold me to your word.
And if I sell myself away.
(You say!) I'll have no debt to pay.
(You say!) I'm gonna get what I deserve.
And if I do what you demand.
You'll let me understand.
Your word, obeyed.
My debt, repaid.
Our trust, betrayed.
All for nothing! All for nothing!
All for nothing! All for nothing!
 We're (going?) too far.
 I don't think we're too far.
 We are.
 There's a difference. Put the heavy shit there.
 The heavy shit right here?
"
